frame,head_y,velocity,posture,spike
0,0.3093274235725403,6.121397018432617e-05,0.234340101480484,0
1,0.3093886375427246,-0.0003739595413208008,0.23399969935417175,0
2,0.3090146780014038,-0.0015465319156646729,0.23606908321380615,0
3,0.30746814608573914,-0.002416461706161499,0.23699557781219482,0
4,0.30505168437957764,-0.0002923309803009033,0.2409287691116333,0
5,0.30475935339927673,-0.0016133785247802734,0.24035608768463135,0
6,0.30314597487449646,2.327561378479004e-05,0.2388128936290741,0
7,0.30316925048828125,-0.00175514817237854,0.22698479890823364,0
8,0.3014141023159027,-0.0010343194007873535,0.23059144616127014,0
9,0.30037978291511536,-0.0001684129238128662,0.23167753219604492,0
10,0.3002113699913025,-0.004002034664154053,0.22733309864997864,0
11,0.29620933532714844,-0.0012202560901641846,0.23360586166381836,0
12,0.29498907923698425,-0.0026407837867736816,0.2285114824771881,0
13,0.29234829545021057,-0.0007529854774475098,0.22900590300559998,0
14,0.29159530997276306,-0.0014959871768951416,0.22613608837127686,0
15,0.2900993227958679,-0.0013607442378997803,0.22613143920898438,0
16,0.28873857855796814,-0.0009694099426269531,0.22280174493789673,0
17,0.2877691686153412,-0.0014394819736480713,0.22455552220344543,0
18,0.2863296866416931,-0.003758251667022705,0.22763124108314514,0
19,0.2825714349746704,-0.005039721727371216,0.2292737066745758,0
20,0.2775317132472992,-0.003716379404067993,0.23330700397491455,0
21,0.2738153338432312,-0.005099594593048096,0.23410603404045105,0
22,0.2687157392501831,-0.0008409321308135986,0.23628297448158264,0
23,0.2678748071193695,-0.005104511976242065,0.2342563271522522,0
24,0.26277029514312744,-0.0037404298782348633,0.23845209181308746,0
25,0.2590298652648926,-5.143880844116211e-05,0.24071864783763885,0
26,0.2589784264564514,-0.0006170868873596191,0.24158337712287903,0
27,0.2583613395690918,-0.0016092658042907715,0.241921529173851,0
28,0.256752073764801,-0.0008246004581451416,0.24393244087696075,0
29,0.2559274733066559,-0.00024902820587158203,0.24362681806087494,0
30,0.2556784451007843,-0.0014955997467041016,0.24422909319400787,0
31,0.2541828453540802,-0.001547783613204956,0.24509575963020325,0
32,0.25263506174087524,-0.0003103315830230713,0.2461794763803482,0
33,0.2523247301578522,-0.00027489662170410156,0.24421988427639008,0
34,0.25204983353614807,-0.0010868310928344727,0.24488675594329834,0
35,0.2509630024433136,-0.0011936575174331665,0.24501174688339233,0
36,0.24976934492588043,-0.00012190639972686768,0.24619241058826447,0
37,0.24964743852615356,-0.0007569044828414917,0.24382807314395905,0
38,0.24889053404331207,-0.0009307116270065308,0.2429613471031189,0
39,0.24795982241630554,-0.0011404603719711304,0.2438894808292389,0
40,0.2468193620443344,-0.001556500792503357,0.24589194357395172,0
41,0.24526286125183105,-0.0007265061140060425,0.24734120070934296,0
42,0.244536355137825,0.00013151764869689941,0.24790799617767334,0
43,0.2446678727865219,-1.138448715209961e-05,0.2466987818479538,0
44,0.2446564882993698,-0.0012253671884536743,0.23969502747058868,0
45,0.24343112111091614,-0.001629158854484558,0.24174253642559052,0
46,0.24180196225643158,-0.0028703510761260986,0.24323169887065887,0
47,0.23893161118030548,0.00013168156147003174,0.24346314370632172,0
48,0.2390632927417755,-0.0025824308395385742,0.23970350623130798,0
49,0.23648086190223694,-2.7626752853393555e-05,0.24216261506080627,0
50,0.23645323514938354,-0.001266375184059143,0.24033670127391815,0
51,0.2351868599653244,-0.0022796988487243652,0.24261194467544556,0
52,0.23290716111660004,0.000611037015914917,0.2434196174144745,0
53,0.23351819813251495,-0.00038993358612060547,0.24296650290489197,0
54,0.23312826454639435,-0.001370951533317566,0.24324290454387665,0
55,0.23175731301307678,-0.0016398131847381592,0.2434331625699997,0
56,0.23011749982833862,-0.00030815601348876953,0.24483081698417664,0
57,0.22980934381484985,-0.00321294367313385,0.2452417016029358,0
58,0.226596400141716,-0.0006714910268783569,0.24863103032112122,0
59,0.22592490911483765,-0.0005574971437454224,0.251362606883049,0
60,0.22536741197109222,-0.00019319355487823486,0.2522624284029007,0
61,0.225174218416214,-0.0027541667222976685,0.25320468842983246,0
62,0.22242005169391632,-0.0020277798175811768,0.25565704703330994,0
63,0.22039227187633514,-0.0005851984024047852,0.2573433965444565,0
64,0.21980707347393036,-0.00025813281536102295,0.2582177072763443,0
65,0.21954894065856934,-0.0033295154571533203,0.2583011984825134,0
66,0.21621942520141602,-0.0011281967163085938,0.2616877108812332,0
